name,cluster,LevelNum
NO.70,2,-25657.0,-25823.0,-26419.0,-25707.0,-25995.0,-26197.0,-26005.0,-25889.0
NO.71,3,-21388.0,-21856.0,-22324.0,-21822.0,-21876.0,-21870.0,-21856.0,-21856.0
NO.72,0,-15785.0,-16513.0,-17157.0,-16569.0,-16485.0,-16401.0,-16513.0,-16429.0
NO.73,3,-21573.0,-21321.0,-21321.0,-21405.0,-21405.0,-21405.0,-21405.0,-21405.0
NO.74,1,-6277.0,-6431.0,-6483.0,-6417.0,-6397.0,-6377.0,-6397.0,-6377.0
NO.75,4,-7773.0,-8919.0,-9891.0,-8975.0,-8861.0,-8747.0,-8831.0,-8891.0
NO.76,1,-6446.0,-6446.0,-6446.0,-6530.0,-6474.0,-6334.0,-6474.0,-6418.0
NO.77,4,-10852.0,-11136.0,-11718.0,-11074.0,-11228.0,-11404.0,-11228.0,-11230.0
NO.78,1,-4708.0,-4862.0,-5294.0,-4890.0,-4960.0,-5014.0,-4960.0,-4944.0
NO.79,1,-7149.0,-7089.0,-7317.0,-7303.0,-7167.0,-7085.0,-7223.0,-7147.0
NO.80,7,-18478.0,-18704.0,-19634.0,-18794.0,-18958.0,-19064.0,-18950.0,-18902.0
NO.81,2,-27636.0,-27258.0,-27454.0,-27426.0,-27454.0,-27468.0,-27482.0,-27398.0
NO.82,1,-4375.0,-4333.0,-4263.0,-4221.0,-4305.0,-4445.0,-4361.0,-4291.0
NO.83,1,-6341.0,-6019.0,-6521.0,-6303.0,-6289.0,-6289.0,-6345.0,-6233.0
NO.84,3,-21478.0,-21086.0,-21002.0,-21114.0,-21198.0,-21254.0,-21142.0,-21226.0
NO.85,0,-16293.0,-16239.0,-16593.0,-16291.0,-16379.0,-16455.0,-16393.0,-16353.0
NO.86,0,-16494.0,-16512.0,-17208.0,-16658.0,-16732.0,-16824.0,-16788.0,-16676.0
NO.87,3,-21222.0,-20990.0,-21038.0,-21042.0,-21098.0,-21110.0,-21120.0,-21034.0
NO.88,0,-15517.0,-15509.0,-16133.0,-15591.0,-15727.0,-15841.0,-15741.0,-15691.0
NO.89,3,-21537.0,-21537.0,-21537.0,-21537.0,-21537.0,-21537.0,-21537.0,-21537.0
NO.90,1,-4435.0,-4719.0,-5447.0,-4753.0,-4867.0,-4981.0,-4923.0,-4793.0
NO.91,4,-10529.0,-9811.0,-9661.0,-9781.0,-10039.0,-10181.0,-10039.0,-9953.0
NO.92,4,-11284.0,-10250.0,-10250.0,-10498.0,-10614.0,-10672.0,-10594.0,-10576.0
NO.93,0,-16826.0,-15844.0,-15620.0,-16074.0,-16108.0,-16108.0,-16082.0,-16092.0
NO.94,4,-10542.0,-10458.0,-10972.0,-10584.0,-10674.0,-10714.0,-10688.0,-10632.0
NO.95,5,-706.0,-572.0,-640.0,-610.0,-640.0,-668.0,-652.0,-622.0
NO.96,1,-7490.0,-6300.0,-6348.0,-6622.0,-6708.0,-6808.0,-6822.0,-6580.0
NO.97,1,-5211.0,-5103.0,-4941.0,-5085.0,-5085.0,-5085.0,-5085.0,-5085.0
NO.98,3,-21179.0,-20341.0,-20233.0,-20451.0,-20603.0,-20699.0,-20565.0,-20585.0
NO.99,7,-19397.0,-19649.0,-20713.0,-19565.0,-19985.0,-20209.0,-19957.0,-19901.0
NO.100,3,-20998.0,-21062.0,-21368.0,-21056.0,-21146.0,-21226.0,-21158.0,-21118.0
NO.101,0,-17663.0,-16863.0,-16041.0,-17007.0,-16827.0,-16733.0,-16825.0,-16881.0
NO.102,4,-11044.0,-10338.0,-10526.0,-10640.0,-10624.0,-10644.0,-10736.0,-10530.0
NO.103,1,-4445.0,-4571.0,-4977.0,-4417.0,-4655.0,-4921.0,-4697.0,-4613.0
NO.104,5,-608.0,-586.0,-654.0,-582.0,-620.0,-646.0,-620.0,-574.0
NO.105,0,-15082.0,-15218.0,-15664.0,-15234.0,-15338.0,-15392.0,-15338.0,-15302.0
NO.106,4,-10373.0,-9991.0,-10049.0,-10057.0,-10107.0,-10249.0,-10143.0,-10095.0
NO.107,8,-14060.0,-12018.0,-10974.0,-12416.0,-12302.0,-12334.0,-12476.0,-12216.0
NO.108,6,-29838.0,-27954.0,-27670.0,-28374.0,-28488.0,-28600.0,-28584.0,-28352.0
