time,cluster,data
NO.10,5,-3.0,-10.0,-17.0,-10.0,-17.0,-10.0,-9.0,-28.0,0.0,0.0,6.0,6.0,0.0,3.0,0.0,0.0,4.0,7.0,0.0,-3.0,0.0,4.0,1.0,-3.0,0.0,0.0,9.0,9.0,30.0,24.0,13.0,4.0,-3.0,-6.0,-22.0,-29.0,-6.0,-16.0,-26.0,-10.0,-23.0,-16.0,-3.0,0.0,-6.0,0.0,10.0,7.0,-6.0,-6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.11,0,-1.0,-2.0,-1.0,0.0,-7.0,-6.0,-4.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,8.0,9.0,8.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,9.0,9.0,5.0,-5.0,2.0,1.0,6.0,5.0,-1.0,0.0,1.0,6.0,-1.0,-1.0,0.0,1.0
NO.12,5,-4.0,-12.0,-16.0,-8.0,-16.0,-4.0,-4.0,-24.0,-8.0,-4.0,0.0,0.0,-4.0,-4.0,0.0,8.0,40.0,36.0,12.0,0.0,0.0,12.0,28.0,36.0,8.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-12.0,-12.0,-4.0,-12.0,-12.0,-4.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,8.0,0.0,4.0,12.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,4.0,12.0,8.0,0.0
NO.13,0,-4.0,-12.0,-8.0,0.0,-8.0,-4.0,-8.0,-16.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,-8.0,-4.0,4.0,4.0,0.0,0.0,-4.0,-8.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,0.0,8.0,4.0,-8.0,-16.0,0.0,0.0,-8.0,-8.0,0.0,-4.0,-4.0,0.0,-4.0,0.0,12.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,-4.0,0.0,0.0,4.0,-4.0,-4.0,0.0,0.0
NO.14,5,0.0,0.0,-23.0,-23.0,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-4.0,0.0,-2.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,-27.0,-8.0,-9.0,-17.0,-2.0,-7.0,-5.0,-10.0,-14.0,-6.0,0.0,8.0,10.0,7.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NO.15,5,-14.0,-14.0,-14.0,-14.0,-14.0,-7.0,0.0,-7.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,4.0,8.0,7.0,6.0,3.0,0.0,4.0,8.0,11.0,8.0,4.0,0.0,0.0,-8.0,-4.0,0.0,0.0,-14.0,-7.0,-4.0,-7.0,-4.0,0.0,-3.0,-3.0,0.0,-4.0,-4.0,0.0,-4.0,0.0,7.0,3.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.16,5,-9.0,-9.0,0.0,0.0,0.0,18.0,9.0,0.0,-9.0,-9.0,0.0,-10.0,0.0,10.0,29.0,29.0,56.0,37.0,9.0,-9.0,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,0.0,19.0,19.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0
NO.17,0,0.0,0.0,-19.0,-38.0,0.0,10.0,29.0,9.0,0.0,0.0,0.0,29.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,-10.0,0.0,0.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,-10.0,-10.0,0.0,0.0
NO.18,5,-8.0,-4.0,-4.0,-28.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,20.0,4.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-48.0,-20.0,0.0,-16.0,0.0,0.0,0.0,-4.0,-4.0,0.0,0.0,4.0,4.0,4.0,4.0,32.0,28.0,12.0,0.0,4.0,12.0,28.0,16.0,-16.0,-12.0,8.0,24.0,-4.0,-4.0,0.0,8.0
NO.19,5,0.0,0.0,0.0,-28.0,-7.0,-14.0,-7.0,0.0,7.0,7.0,0.0,-7.0,0.0,7.0,14.0,14.0,100.0,71.0,42.0,21.0,0.0,7.0,7.0,0.0,-14.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,-42.0,-28.0,-7.0,-14.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,28.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.20,5,-20.0,-19.0,-27.0,-37.0,-18.0,-9.0,9.0,-9.0,-9.0,0.0,0.0,-10.0,0.0,0.0,0.0,19.0,74.0,56.0,19.0,0.0,0.0,9.0,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,-37.0,-9.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,19.0,19.0,19.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,19.0
NO.21,5,0.0,0.0,-14.0,-21.0,0.0,0.0,7.0,-7.0,-7.0,0.0,0.0,-7.0,0.0,0.0,7.0,21.0,14.0,7.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-7.0,0.0,0.0,-14.0,-7.0,-7.0,-35.0,-7.0,-7.0,-35.0,-28.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,28.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.22,5,-1.0,-5.0,-30.0,-45.0,-5.0,0.0,2.0,-17.0,2.0,0.0,4.0,6.0,2.0,2.0,2.0,4.0,44.0,31.0,7.0,-4.0,0.0,2.0,4.0,8.0,-4.0,-2.0,0.0,0.0,-14.0,-7.0,0.0,0.0,-18.0,-31.0,-26.0,-11.0,-41.0,-22.0,-11.0,-6.0,-3.0,-3.0,0.0,0.0,-2.0,-2.0,6.0,6.0,8.0,6.0,4.0,-2.0,1.0,5.0,9.0,4.0,-3.0,-2.0,5.0,9.0,-1.0,-1.0,0.0,5.0
NO.23,5,-10.0,-10.0,-22.0,-31.0,-10.0,-11.0,6.0,-5.0,-4.0,5.0,2.0,8.0,1.0,1.0,0.0,3.0,40.0,24.0,4.0,-3.0,0.0,8.0,12.0,21.0,0.0,-1.0,-1.0,0.0,8.0,4.0,0.0,0.0,-18.0,-21.0,-20.0,-12.0,-29.0,-20.0,-10.0,-3.0,-11.0,-14.0,-3.0,0.0,12.0,21.0,19.0,9.0,20.0,23.0,13.0,-3.0,11.0,3.0,16.0,13.0,-7.0,-3.0,3.0,16.0,-4.0,-6.0,-2.0,3.0
