time,cluster,data
NO.19,3,-14.0,-14.0,21.0,21.0,21.0,0.0,0.0,7.0,28.0,-114.0,-85.0,-35.0,-21.0,-14.0,-7.0,14.0,7.0,0.0,35.0,42.0,21.0,21.0,7.0,7.0,70.0,42.0,28.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.20,3,11.0,37.0,37.0,9.0,0.0,-1.0,9.0,0.0,29.0,-84.0,-28.0,28.0,-9.0,-28.0,-47.0,0.0,0.0,0.0,47.0,37.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,19.0,-38.0,0.0,0.0,0.0,-19.0,0.0
NO.21,3,0.0,21.0,14.0,-7.0,-7.0,0.0,7.0,7.0,28.0,-14.0,0.0,7.0,0.0,0.0,0.0,-14.0,-7.0,0.0,0.0,-21.0,0.0,14.0,35.0,35.0,7.0,35.0,35.0,-7.0,-7.0,-7.0,-7.0,-7.0,0.0,7.0,7.0,0.0
NO.22,3,2.0,31.0,34.0,5.0,4.0,21.0,0.0,0.0,-2.0,-51.0,-25.0,5.0,-6.0,-6.0,-10.0,-10.0,-5.0,0.0,-7.0,8.0,21.0,43.0,25.0,11.0,1.0,7.0,6.0,-6.0,3.0,7.0,-9.0,-6.0,0.0,2.0,-4.0,-4.0
NO.23,3,2.0,25.0,28.0,9.0,9.0,16.0,5.0,-6.0,-5.0,-36.0,-12.0,28.0,-9.0,-13.0,-30.0,9.0,5.0,1.0,-6.0,6.0,14.0,22.0,9.0,7.0,36.0,44.0,22.0,-19.0,-7.0,6.0,-21.0,-16.0,0.0,1.0,-6.0,-15.0
NO.24,3,6.0,14.0,27.0,0.0,0.0,6.0,0.0,-2.0,-4.0,-35.0,-18.0,11.0,3.0,5.0,-3.0,-12.0,-12.0,-10.0,26.0,3.0,15.0,19.0,23.0,4.0,4.0,14.0,15.0,0.0,-2.0,8.0,-24.0,-6.0,0.0,0.0,-12.0,-6.0
NO.25,3,0.0,13.0,17.0,0.0,-5.0,2.0,3.0,-5.0,-4.0,-61.0,-32.0,4.0,-11.0,-8.0,-10.0,-1.0,-2.0,-3.0,-7.0,-11.0,2.0,-3.0,6.0,18.0,20.0,21.0,2.0,-11.0,0.0,5.0,-6.0,-12.0,0.0,0.0,-3.0,-12.0
NO.26,3,10.0,45.0,68.0,1.0,-5.0,6.0,6.0,11.0,28.0,-28.0,-5.0,17.0,-12.0,-12.0,-17.0,2.0,1.0,0.0,62.0,45.0,17.0,-1.0,-12.0,-6.0,7.0,7.0,6.0,-22.0,-5.0,1.0,-23.0,-11.0,0.0,0.0,-12.0,-11.0
NO.27,3,-12.0,22.0,38.0,-5.0,-5.0,12.0,16.0,10.0,33.0,-85.0,-34.0,17.0,-22.0,-22.0,-22.0,-7.0,-7.0,-7.0,-18.0,-6.0,27.0,51.0,33.0,0.0,79.0,46.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO.28,3,15.0,43.0,57.0,47.0,15.0,2.0,4.0,11.0,1.0,1.0,-7.0,4.0,49.0,26.0,-8.0,-23.0,-3.0,17.0,29.0,26.0,17.0,21.0,12.0,8.0,0.0,10.0,8.0,-7.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
