NO.93,1,59.0,58.0,59.0,59.0,59.0,58.0
NO.94,0,45.0,55.0,45.0,45.0,45.0,55.0
NO.95,1,55.0,53.0,55.0,55.0,55.0,53.0
NO.96,0,46.0,49.0,46.0,46.0,46.0,49.0
NO.97,0,49.0,54.0,49.0,49.0,49.0,54.0
NO.98,0,51.0,50.0,51.0,51.0,51.0,50.0
NO.99,1,54.0,53.0,54.0,54.0,54.0,53.0
NO.100,0,53.0,48.0,53.0,53.0,53.0,48.0
NO.101,1,57.0,51.0,57.0,57.0,57.0,51.0
NO.102,1,58.0,58.0,58.0,58.0,58.0,58.0
NO.103,1,56.0,57.0,56.0,56.0,56.0,57.0
NO.104,0,50.0,50.0,50.0,50.0,50.0,50.0
NO.105,1,56.0,55.0,56.0,56.0,56.0,55.0
NO.106,0,47.0,53.0,47.0,47.0,47.0,53.0
NO.107,1,57.0,59.0,57.0,57.0,57.0,59.0
NO.108,0,54.0,49.0,54.0,54.0,54.0,49.0
NO.109,0,50.0,53.0,50.0,50.0,50.0,53.0
NO.110,0,50.0,52.0,50.0,50.0,50.0,52.0
NO.111,1,57.0,57.0,57.0,57.0,57.0,57.0
NO.112,0,49.0,49.0,49.0,49.0,49.0,49.0
NO.113,1,55.0,53.0,55.0,55.0,55.0,53.0
NO.114,0,48.0,48.0,48.0,48.0,48.0,48.0
NO.115,0,51.0,47.0,51.0,51.0,51.0,47.0
NO.116,0,51.0,52.0,51.0,51.0,51.0,52.0
NO.117,1,60.0,57.0,60.0,60.0,60.0,57.0
NO.118,1,54.0,52.0,54.0,54.0,54.0,52.0
NO.119,0,50.0,53.0,50.0,50.0,50.0,53.0
NO.120,0,52.0,53.0,52.0,52.0,52.0,53.0
NO.121,0,48.0,50.0,48.0,48.0,48.0,50.0
NO.122,0,50.0,50.0,50.0,50.0,50.0,50.0
NO.123,0,51.0,48.0,51.0,51.0,51.0,48.0
NO.124,0,51.0,51.0,51.0,51.0,51.0,51.0
NO.125,0,49.0,45.0,49.0,49.0,49.0,45.0
NO.126,0,51.0,48.0,51.0,51.0,51.0,48.0
NO.127,1,61.0,62.0,61.0,61.0,61.0,62.0
NO.128,0,51.0,51.0,51.0,51.0,51.0,51.0
NO.129,1,60.0,58.0,60.0,60.0,60.0,58.0
NO.130,0,48.0,50.0,48.0,48.0,48.0,50.0
NO.131,1,53.0,54.0,53.0,53.0,53.0,54.0
NO.132,0,52.0,51.0,52.0,52.0,52.0,51.0
NO.133,1,55.0,54.0,55.0,55.0,55.0,54.0
NO.134,1,58.0,57.0,58.0,58.0,58.0,57.0
NO.135,0,50.0,50.0,50.0,50.0,50.0,50.0
NO.136,0,48.0,51.0,48.0,48.0,48.0,51.0
NO.137,0,50.0,51.0,50.0,50.0,50.0,51.0
NO.138,1,66.0,66.0,66.0,66.0,66.0,66.0
NO.139,0,52.0,51.0,52.0,52.0,52.0,51.0
NO.140,0,52.0,47.0,52.0,52.0,52.0,47.0
NO.141,1,55.0,52.0,55.0,55.0,55.0,52.0
NO.142,0,54.0,50.0,54.0,54.0,54.0,50.0
NO.143,0,45.0,44.0,45.0,45.0,45.0,44.0
NO.144,0,49.0,49.0,49.0,49.0,49.0,49.0
NO.145,0,47.0,51.0,47.0,47.0,47.0,51.0
NO.146,1,58.0,57.0,58.0,58.0,58.0,57.0
NO.147,0,51.0,50.0,51.0,51.0,51.0,50.0
NO.148,1,58.0,58.0,58.0,58.0,58.0,58.0
NO.149,1,56.0,58.0,56.0,56.0,56.0,58.0
NO.150,0,46.0,53.0,46.0,46.0,46.0,53.0
NO.151,1,62.0,59.0,62.0,62.0,62.0,59.0
NO.152,0,50.0,52.0,50.0,50.0,50.0,52.0
NO.153,0,53.0,53.0,53.0,53.0,53.0,53.0
NO.154,0,48.0,50.0,48.0,48.0,48.0,50.0
NO.155,1,55.0,54.0,55.0,55.0,55.0,54.0
NO.156,0,51.0,51.0,51.0,51.0,51.0,51.0
NO.157,1,59.0,57.0,59.0,59.0,59.0,57.0
NO.158,1,60.0,58.0,60.0,60.0,60.0,58.0
NO.159,1,56.0,57.0,56.0,56.0,56.0,57.0
NO.160,1,59.0,58.0,59.0,59.0,59.0,58.0
NO.161,1,59.0,59.0,59.0,59.0,59.0,59.0
NO.162,0,50.0,47.0,50.0,50.0,50.0,47.0
NO.163,0,54.0,51.0,54.0,54.0,54.0,51.0
NO.164,0,53.0,51.0,53.0,53.0,53.0,51.0
NO.165,1,53.0,56.0,53.0,53.0,53.0,56.0
NO.166,1,54.0,52.0,54.0,54.0,54.0,52.0
NO.167,0,48.0,46.0,48.0,48.0,48.0,46.0
NO.168,0,52.0,53.0,52.0,52.0,52.0,53.0
NO.169,0,48.0,52.0,48.0,48.0,48.0,52.0
NO.170,1,55.0,53.0,55.0,55.0,55.0,53.0
NO.171,0,53.0,45.0,53.0,53.0,53.0,45.0
NO.172,0,53.0,51.0,53.0,53.0,53.0,51.0
NO.173,0,51.0,45.0,51.0,51.0,51.0,45.0
NO.174,1,59.0,54.0,59.0,59.0,59.0,54.0
NO.175,0,48.0,48.0,48.0,48.0,48.0,48.0
NO.176,1,57.0,58.0,57.0,57.0,57.0,58.0
NO.177,1,57.0,55.0,57.0,57.0,57.0,55.0
NO.178,1,56.0,54.0,56.0,56.0,56.0,54.0
NO.179,0,52.0,48.0,52.0,52.0,52.0,48.0
NO.180,1,58.0,54.0,58.0,58.0,58.0,54.0
NO.181,0,53.0,52.0,53.0,53.0,53.0,52.0
NO.182,0,54.0,46.0,54.0,54.0,54.0,46.0
NO.183,1,55.0,53.0,55.0,55.0,55.0,53.0
NO.184,1,59.0,55.0,59.0,59.0,59.0,55.0
NO.185,1,58.0,57.0,58.0,58.0,58.0,57.0
NO.186,1,54.0,55.0,54.0,54.0,54.0,55.0
NO.187,0,53.0,51.0,53.0,53.0,53.0,51.0
NO.188,1,64.0,65.0,64.0,64.0,64.0,65.0
NO.189,1,58.0,58.0,58.0,58.0,58.0,58.0
NO.190,0,54.0,50.0,54.0,54.0,54.0,50.0
NO.191,1,63.0,63.0,63.0,63.0,63.0,63.0
NO.192,1,64.0,62.0,64.0,64.0,64.0,62.0
NO.193,1,55.0,55.0,55.0,55.0,55.0,55.0
NO.194,1,64.0,63.0,64.0,64.0,64.0,63.0
NO.195,1,60.0,60.0,60.0,60.0,60.0,60.0
NO.196,1,67.0,67.0,67.0,67.0,67.0,67.0
NO.197,1,54.0,54.0,54.0,54.0,54.0,54.0
NO.198,1,58.0,55.0,58.0,58.0,58.0,55.0
NO.199,0,50.0,53.0,50.0,50.0,50.0,53.0
NO.200,1,59.0,61.0,59.0,59.0,59.0,61.0
NO.201,0,47.0,47.0,47.0,47.0,47.0,47.0
NO.202,1,58.0,58.0,58.0,58.0,58.0,58.0
NO.203,1,57.0,55.0,57.0,57.0,57.0,55.0
