NO.66,44.0,42.0,44.0,44.0,44.0,42.0
NO.67,60.0,58.0,60.0,60.0,60.0,58.0
NO.68,53.0,50.0,53.0,53.0,53.0,50.0
NO.69,52.0,47.0,52.0,52.0,52.0,47.0
NO.70,60.0,59.0,60.0,60.0,60.0,59.0
NO.71,56.0,58.0,56.0,56.0,56.0,58.0
NO.72,51.0,54.0,51.0,51.0,51.0,54.0
NO.73,54.0,48.0,54.0,54.0,54.0,48.0
NO.74,62.0,62.0,62.0,62.0,62.0,62.0
NO.75,53.0,53.0,53.0,53.0,53.0,53.0
NO.76,43.0,49.0,43.0,43.0,43.0,49.0
NO.77,49.0,48.0,49.0,49.0,49.0,48.0
NO.78,54.0,54.0,54.0,54.0,54.0,54.0
NO.79,58.0,55.0,58.0,58.0,58.0,55.0
NO.80,61.0,60.0,61.0,61.0,61.0,60.0
NO.81,56.0,55.0,56.0,56.0,56.0,55.0
NO.82,56.0,56.0,56.0,56.0,56.0,56.0
NO.83,57.0,56.0,57.0,57.0,57.0,56.0
NO.84,53.0,51.0,53.0,53.0,53.0,51.0
NO.85,54.0,55.0,54.0,54.0,54.0,55.0
NO.86,53.0,52.0,53.0,53.0,53.0,52.0
NO.87,57.0,57.0,57.0,57.0,57.0,57.0
NO.88,56.0,57.0,56.0,56.0,56.0,57.0
NO.89,54.0,57.0,54.0,54.0,54.0,57.0
NO.90,47.0,47.0,47.0,47.0,47.0,47.0
NO.91,54.0,51.0,54.0,54.0,54.0,51.0
NO.92,53.0,51.0,53.0,53.0,53.0,51.0
NO.93,59.0,58.0,59.0,59.0,59.0,58.0
NO.94,43.0,53.0,43.0,43.0,43.0,53.0
NO.95,55.0,52.0,55.0,55.0,55.0,52.0
NO.96,46.0,49.0,46.0,46.0,46.0,49.0
NO.97,49.0,53.0,49.0,49.0,49.0,53.0
NO.98,52.0,51.0,52.0,52.0,52.0,51.0
NO.99,54.0,52.0,54.0,54.0,54.0,52.0
NO.100,52.0,47.0,52.0,52.0,52.0,47.0
NO.101,57.0,51.0,57.0,57.0,57.0,51.0
NO.102,58.0,58.0,58.0,58.0,58.0,58.0
NO.103,55.0,55.0,55.0,55.0,55.0,55.0
NO.104,49.0,51.0,49.0,49.0,49.0,51.0
NO.105,56.0,55.0,56.0,56.0,56.0,55.0
NO.106,47.0,53.0,47.0,47.0,47.0,53.0
NO.107,55.0,56.0,55.0,55.0,55.0,56.0
NO.108,54.0,49.0,54.0,54.0,54.0,49.0
NO.109,50.0,51.0,50.0,50.0,50.0,51.0
NO.110,51.0,51.0,51.0,51.0,51.0,51.0
NO.111,57.0,57.0,57.0,57.0,57.0,57.0
NO.112,48.0,49.0,48.0,48.0,48.0,49.0
NO.113,54.0,53.0,54.0,54.0,54.0,53.0
NO.114,48.0,47.0,48.0,48.0,48.0,47.0
NO.115,48.0,50.0,48.0,48.0,48.0,50.0
NO.116,50.0,52.0,50.0,50.0,50.0,52.0
NO.117,60.0,57.0,60.0,60.0,60.0,57.0
NO.118,54.0,50.0,54.0,54.0,54.0,50.0
NO.119,51.0,52.0,51.0,51.0,51.0,52.0
NO.120,52.0,53.0,52.0,52.0,52.0,53.0
NO.121,49.0,48.0,49.0,49.0,49.0,48.0
