NO.47,48.0,45.0,48.0,48.0,48.0,45.0
NO.48,46.0,48.0,46.0,46.0,46.0,48.0
NO.49,50.0,52.0,50.0,50.0,50.0,52.0
NO.50,50.0,49.0,50.0,50.0,50.0,49.0
NO.51,54.0,55.0,54.0,54.0,54.0,55.0
NO.52,56.0,55.0,56.0,56.0,56.0,55.0
NO.53,57.0,57.0,57.0,57.0,57.0,57.0
NO.54,49.0,47.0,49.0,49.0,49.0,47.0
NO.55,50.0,51.0,50.0,50.0,50.0,51.0
NO.56,61.0,60.0,61.0,61.0,61.0,60.0
NO.57,53.0,53.0,53.0,53.0,53.0,53.0
NO.58,50.0,48.0,50.0,50.0,50.0,48.0
NO.59,60.0,60.0,60.0,60.0,60.0,60.0
NO.60,54.0,55.0,54.0,54.0,54.0,55.0
NO.61,53.0,54.0,53.0,53.0,53.0,54.0
NO.62,51.0,47.0,51.0,51.0,51.0,47.0
NO.63,52.0,55.0,52.0,52.0,52.0,55.0
NO.64,50.0,51.0,50.0,50.0,50.0,51.0
NO.65,54.0,51.0,54.0,54.0,54.0,51.0
NO.66,49.0,48.0,49.0,49.0,49.0,48.0
NO.67,49.0,53.0,49.0,49.0,49.0,53.0
NO.68,55.0,50.0,55.0,55.0,55.0,50.0
NO.69,53.0,50.0,53.0,53.0,53.0,50.0
NO.70,58.0,57.0,58.0,58.0,58.0,57.0
NO.71,57.0,56.0,57.0,57.0,57.0,56.0
NO.72,51.0,51.0,51.0,51.0,51.0,51.0
NO.73,52.0,48.0,52.0,52.0,52.0,48.0
NO.74,52.0,49.0,52.0,52.0,52.0,49.0
NO.75,54.0,54.0,54.0,54.0,54.0,54.0
NO.76,47.0,52.0,47.0,47.0,47.0,52.0
NO.77,52.0,54.0,52.0,52.0,52.0,54.0
NO.78,53.0,52.0,53.0,53.0,53.0,52.0
NO.79,56.0,57.0,56.0,56.0,56.0,57.0
NO.80,60.0,60.0,60.0,60.0,60.0,60.0
NO.81,55.0,53.0,55.0,55.0,55.0,53.0
NO.82,53.0,51.0,53.0,53.0,53.0,51.0
NO.83,57.0,58.0,57.0,57.0,57.0,58.0
NO.84,52.0,51.0,52.0,52.0,52.0,51.0
NO.85,57.0,54.0,57.0,57.0,57.0,54.0
NO.86,51.0,55.0,51.0,51.0,51.0,55.0
NO.87,54.0,51.0,54.0,54.0,54.0,51.0
NO.88,58.0,59.0,58.0,58.0,58.0,59.0
NO.89,53.0,53.0,53.0,53.0,53.0,53.0
NO.90,48.0,50.0,48.0,48.0,48.0,50.0
NO.91,54.0,55.0,54.0,54.0,54.0,55.0
NO.92,56.0,56.0,56.0,56.0,56.0,56.0
NO.93,51.0,50.0,51.0,51.0,51.0,50.0
NO.94,43.0,51.0,43.0,43.0,43.0,51.0
NO.95,50.0,50.0,50.0,50.0,50.0,50.0
NO.96,47.0,48.0,47.0,47.0,47.0,48.0
NO.97,50.0,51.0,50.0,50.0,50.0,51.0
NO.98,53.0,54.0,53.0,53.0,53.0,54.0
NO.99,50.0,55.0,50.0,50.0,50.0,55.0
NO.100,56.0,55.0,56.0,56.0,56.0,55.0
NO.101,53.0,53.0,53.0,53.0,53.0,53.0
NO.102,51.0,58.0,51.0,51.0,51.0,58.0
NO.103,51.0,50.0,51.0,51.0,51.0,50.0
NO.104,51.0,52.0,51.0,51.0,51.0,52.0
NO.105,50.0,53.0,50.0,50.0,50.0,53.0
NO.106,47.0,50.0,47.0,47.0,47.0,50.0
NO.107,47.0,51.0,47.0,47.0,47.0,51.0
NO.108,40.0,44.0,40.0,40.0,40.0,44.0
NO.109,49.0,53.0,49.0,49.0,49.0,53.0
NO.110,52.0,55.0,52.0,52.0,52.0,55.0
NO.111,54.0,56.0,54.0,54.0,54.0,56.0
NO.112,53.0,52.0,53.0,53.0,53.0,52.0
NO.113,52.0,52.0,52.0,52.0,52.0,52.0
NO.114,51.0,46.0,51.0,51.0,51.0,46.0
NO.115,49.0,55.0,49.0,49.0,49.0,55.0
NO.116,56.0,55.0,56.0,56.0,56.0,55.0
NO.117,50.0,49.0,50.0,50.0,50.0,49.0
NO.118,51.0,46.0,51.0,51.0,51.0,46.0
NO.119,49.0,51.0,49.0,49.0,49.0,51.0
NO.120,52.0,52.0,52.0,52.0,52.0,52.0
NO.121,49.0,48.0,49.0,49.0,49.0,48.0
NO.122,48.0,45.0,48.0,48.0,48.0,45.0
NO.123,51.0,51.0,51.0,51.0,51.0,51.0
NO.124,48.0,51.0,48.0,48.0,48.0,51.0
NO.125,52.0,51.0,52.0,52.0,52.0,51.0
NO.126,54.0,50.0,54.0,54.0,54.0,50.0
NO.127,53.0,57.0,53.0,53.0,53.0,57.0
NO.128,46.0,51.0,46.0,46.0,46.0,51.0
NO.129,57.0,55.0,57.0,57.0,57.0,55.0
NO.130,54.0,53.0,54.0,54.0,54.0,53.0
NO.131,60.0,59.0,60.0,60.0,60.0,59.0
NO.132,52.0,47.0,52.0,52.0,52.0,47.0
NO.133,57.0,56.0,57.0,57.0,57.0,56.0
NO.134,51.0,43.0,51.0,51.0,51.0,43.0
NO.135,57.0,57.0,57.0,57.0,57.0,57.0
NO.136,51.0,50.0,51.0,51.0,51.0,50.0
NO.137,54.0,49.0,54.0,54.0,54.0,49.0
NO.138,56.0,51.0,56.0,56.0,56.0,51.0
NO.139,53.0,52.0,53.0,53.0,53.0,52.0
NO.140,52.0,54.0,52.0,52.0,52.0,54.0
NO.141,52.0,53.0,52.0,52.0,52.0,53.0
NO.142,49.0,47.0,49.0,49.0,49.0,47.0
NO.143,49.0,44.0,49.0,49.0,49.0,44.0
NO.144,50.0,48.0,50.0,50.0,50.0,48.0
NO.145,50.0,49.0,50.0,50.0,50.0,49.0
NO.146,53.0,52.0,53.0,53.0,53.0,52.0
NO.147,51.0,50.0,51.0,51.0,51.0,50.0
NO.148,56.0,53.0,56.0,56.0,56.0,53.0
NO.149,58.0,57.0,58.0,58.0,58.0,57.0
NO.150,51.0,51.0,51.0,51.0,51.0,51.0
